id,poi_text,input,location,chars
489,"Door no, 137 mint st, near mahasakthi hotel sowcarpet, George town","Door no, 137 mint st, near mahasakthi hotel sowcarpet, George town",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,66
490,"Door no, 137 mint st, near mahasakthi hotel sowcarpet, ger","Door no, 137 mint st, near mahasakthi hotel sowcarpet, ger",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,58
491,Dr Mutha,Dr Mutha,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,8
492,Dr Muthai,Dr Muthai,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,9
493,"Dr. SSukhsagar bldg., Hughes road, N. S. Patkar marg, above kobe sizzlers, opera house","Dr. SSukhsagar bldg., Hughes road, N. S. Patkar marg, above kobe sizzlers, opera house",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,86
494,Durgam cheruvu srini,Durgam cheruvu srini,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,20
495,Dwarka,Dwarka,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,6
496,"E-239Karampura New deM48V+9M4, Block E, Karam Pura, New Delhi, Delhi 110015, India","E-239Karampura New deM48V+9M4, Block E, Karam Pura, New Delhi, Delhi 110015, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,82
497,"E-239Karampura nM48V+9M4, Block E, Karam Pura, New Delhi, Delhi 110015, India","E-239Karampura nM48V+9M4, Block E, Karam Pura, New Delhi, Delhi 110015, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,77
498,ESPLANADE METRO RAIL GATE,ESPLANADE METRO RAIL GATE,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,25
499,East E,East E,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,6
500,Eelwe,Eelwe,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,5
501,Ele,Ele,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,3
502,Ele,Ele,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,3
503,Esplanade relianc,Esplanade relianc,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
504,Etcnissan,Etcnissan,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,9
505,F-113 P,F-113 P,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,7
506,F-113 Phase 1,F-113 Phase 1,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,13
507,F-113 Phase 1 Ne,F-113 Phase 1 Ne,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
508,F-113 Phase 1 New Pa,F-113 Phase 1 New Pa,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,20
509,F1029 GALAXY NORTH AVENUE 2 GAUR CITY,F1029 GALAXY NORTH AVENUE 2 GAUR CITY,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,37
510,FC 114 salt la,FC 114 salt la,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,14
511,FC 114 salt lake,FC 114 salt lake,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
512,FC 114 salt lake near indusind ba,FC 114 salt lake near indusind ba,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,33
513,FC 114 salt lake near indusind bank,FC 114 salt lake near indusind bank,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,35
514,Fab Expre,Fab Expre,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,9
515,Far,Far,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,3
516,Finix Mall,Finix Mall,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,10
517,GD GOENKA PUBLIC SCHOOL S BLOCK,GD GOENKA PUBLIC SCHOOL S BLOCK,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,31
518,GH79,GH79,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,4
519,"GNIOT COLLEGE OF MANAGEMENT, Knowledge Park II Greater Noida Uttar Pradesh India gate no","GNIOT COLLEGE OF MANAGEMENT, Knowledge Park II Greater Noida Uttar Pradesh India gate no",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,88
520,"GNIOT COLLEGE OF MANAGEMENT, Knowledge Park II Greater Noida Uttar Pradesh India gate no. 1","GNIOT COLLEGE OF MANAGEMENT, Knowledge Park II Greater Noida Uttar Pradesh India gate no. 1",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,91
521,GST Road Guindy ra,GST Road Guindy ra,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,18
522,Gadital Hadpasar,Gadital Hadpasar,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
523,Galaxy north Avenue Apartment Gaur City 1 Noida extension,Galaxy north Avenue Apartment Gaur City 1 Noida extension,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,57
524,Ganda,Ganda,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,5
525,Gandhi Nagar par,Gandhi Nagar par,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
526,Gandhi Nagar parta,Gandhi Nagar parta,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,18
527,Gandhi Nagar partap gali,Gandhi Nagar partap gali,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,24
528,Gandhiar Railway sta,Gandhiar Railway sta,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,20
529,"Gane, CDA Sector 11, Cuttack, Odisha 753014, India","Gane, CDA Sector 11, Cuttack, Odisha 753014, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,50
530,"Ganesh p, CDA Sector 11, Cuttack, Odisha 753014, India","Ganesh p, CDA Sector 11, Cuttack, Odisha 753014, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,54
531,"Gate No 1, Versova Metro s","Gate No 1, Versova Metro s",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,26
532,"Gate No.4 Karkardoom. court Vishwas Nagar Extension, Vishwas Nagar, Shahdara, New Delhi, Delhi 110032, India","Gate No.4 Karkardoom. court Vishwas Nagar Extension, Vishwas Nagar, Shahdara, New Delhi, Delhi 110032, India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,108
533,Gaur City 1 Noida,Gaur City 1 Noida,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
534,Gautam Mod,Gautam Mod,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,10
535,Gautam Model,Gautam Model,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,12
536,Goa Ai,Goa Ai,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,6
537,Gokalpuri T,Gokalpuri T,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,11
538,Gokalpuri Tata,Gokalpuri Tata,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,14
539,Golbs,Golbs,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,5
540,Golds,Golds,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,5
541,Gor,Gor,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,3
542,Gorguntepalya Met,Gorguntepalya Met,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
543,Govt School Pha,Govt School Pha,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,15
544,Govt School Phase 2 Mohali,Govt School Phase 2 Mohali,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,26
545,Great Escape Water Park Road tilher Maharashtra India,Great Escape Water Park Road tilher Maharashtra India,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,53
546,Great Escape Water Park Road tilher bus  Maharashtra India,Great Escape Water Park Road tilher bus  Maharashtra India,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,58
547,Gujarat Chambers Building,Gujarat Chambers Building,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,25
548,"Gulab chand chatrangi jewellerys,ravivar peth","Gulab chand chatrangi jewellerys,ravivar peth",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,45
549,"Gupta matrRed Hills Road, Villivakkam Chennai Tamil Nadu India","Gupta matrRed Hills Road, Villivakkam Chennai Tamil Nadu India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,62
550,"Gupta matriculation scRed Hills Road, Villivakkam Chennai Tamil Nadu India","Gupta matriculation scRed Hills Road, Villivakkam Chennai Tamil Nadu India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,74
551,"GuptaRed Hills Road, Villivakkam Chennai Tamil Nadu India","GuptaRed Hills Road, Villivakkam Chennai Tamil Nadu India",/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,57
552,Gur,Gur,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,3
553,Gurgaon sector 42,Gurgaon sector 42,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
554,Gurudwara GawGhat,Gurudwara GawGhat,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
555,Gurudwara GawaGhat,Gurudwara GawaGhat,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,18
556,Gurugra,Gurugra,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,7
557,Gurugram Sector 14 Rajiv Nagar Near,Gurugram Sector 14 Rajiv Nagar Near,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,35
558,Gurugram Sector 14 Rajiv Nagar Near Ai,Gurugram Sector 14 Rajiv Nagar Near Ai,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,38
559,Guwahati,Guwahati,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,8
560,Guwahati Club Ro,Guwahati Club Ro,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
561,Guwahati Club Rot,Guwahati Club Rot,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,17
562,Guwahati Club Rota,Guwahati Club Rota,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,18
563,Habib ashokn,Habib ashokn,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,12
564,Habib ashokna,Habib ashokna,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,13
565,Habib ashoknagar,Habib ashoknagar,/api/v1/places/search/autocomplete?no_google_result=5&ll=13.0434065%2C80.2778258&compatible_version=true&metadata=drop&user_id=34796710&origin=13.0434065%2C80.2778258&query=royap&type=POPULAR%2C5%7CPLACE%2C5&radius=6000&category=daily&request_id=20220930152848_ANDROID_56219&key=test,16
